County	State	% Democrat	% Republican	% Other	% Voted of Population	Total Votes
Sumter	Florida	0.3172514461804617	0.6786073417310915	8.109423149699951e-4	0.712782847277884	92485
Waukesha	Wisconsin	0.3877147420110748	0.5957141151360468	0.005089628203406021	0.6585024251925166	267996
Livingston	Michigan	0.3790969912812409	0.6052186765411134	0.001737462361533684	0.6561078270558014	127197
Hunterdon	New Jersey	0.4683768191638375	0.5122504214049999	0.002813323520334275	0.653307172714371	84242
Emmet	Michigan	0.43567660188483565	0.5471885286558146	0.0016683951841998466	0.6501231238273921	22177
Jefferson	Colorado	0.5787501523751981	0.3933055612972297	0.008114310548603712	0.6473692336724366	377358
Douglas	Colorado	0.4518598475853285	0.5236070033030374	0.006627663478767729	0.6469810993971696	231605
Cumberland	Maine	0.6572220464081179	0.30413344630807393	0.012556529905979155	0.646433650422841	195914
St. Johns	Florida	0.3615064940947334	0.6281550429731291	0.0011493471934413606	0.6459614153789888	176622
Washington	Wisconsin	0.30260020438287727	0.6839672987396389	0.00242988531849665	0.6439701376854513	88070
